Query,Relevant Axioms IDs,Size of relevant axioms,Word2Vec Cosine,Word2Vec Time
"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.","['81', '120', '188', '54', '64', '77', '153', '83', '208', '122', '65', '25']",12,"['126', '5', '176', '167', '92', '162', '65', '114', '156', '124']",0.03465747833251953
Rock Quality: a quality that is quality_of only Amount of Rock. It measures the property that related to rock itself.,"['113', '129', '17', '193']",4,"['129', '113', '192', '17', '100', '31', '155', '147', '33', '152']",0.022478818893432617
Fault Dip Direction: it measures the dipping direction of the Fault Surface Location.,['99'],1,"['99', '200', '46', '7', '140', '69', '89', '105', '161', '212']",0.024377107620239258
Fault Array Structure: a geological structure that is structure_of some Fault System. It is the spatial relationship and geometric arrangement among the Fault Surface related to multiple Fault Zone of a Fault System.,"['13', '123', '115', '91', '210', '111', '1', '206', '145']",9,"['13', '32', '7', '207', '116', '111', '56', '151', '122', '193']",0.022134065628051758
Earth fluid is an 'earth material' that is fluild.,"['41', '203']",2,"['41', '133', '203', '109', '75', '180', '147', '159', '28', '33']",0.022968530654907227
.Fault Surface Location: a two dimensional spatial region that Fault Surface occupies in the spatial region.,"['7', '46', '6']",3,"['6', '7', '205', '171', '3', '103', '61', '195', '69', '89']",0.02498769760131836
Fault Volume: a Rock Volume that is associated to  Fault Zone and Fault Wall. It has_part some Fault Wall and some Fault Zone.,"['86', '40', '108', '89', '72', '156', '182']",7,"['182', '71', '40', '90', '222', '153', '53', '107', '69', '89']",0.022699594497680664
It is a fiat surface that is 'located in' the external surface of a 'geological object'.,"['21', '61']",2,"['66', '124', '34', '39', '18', '181', '61', '143', '8', '7']",0.024904966354370117
Slickenside: smooth polished surface of parallel scratches or grooves.,['139'],1,"['139', '172', '28', '140', '195', '134', '68', '84', '63', '194']",0.022242307662963867
"Nonsystematic (random): a number of fault surfaces in a wide range of orientations, no systematic pattern can be concluded.",['206'],1,"['207', '210', '156', '56', '122', '139', '195', '28', '13', '124']",0.025905609130859375
Positive Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively upward and the corresponding Fault System has_structure some Flower.,['95'],1,"['13', '156', '56', '95', '145', '32', '105', '63', '42', '24']",0.027716398239135742
"Physical Slip Surface: a fiat object part that is part_of some Fault Wall and externally_connected_with some Fault Core. It is the physical surface part of the wall, where major slip of a fault occurred.","['194', '63', '24', '34', '28']",5,"['24', '63', '42', '194', '119', '89', '69', '7', '46', '149']",0.03182053565979004
Continuity: a quality that is quality_of  some Fault Core Membrane. It describes the appearance continuity of the fault core membrane.,"['15', '78']",2,"['78', '166', '11', '16', '178', '18', '2', '63', '137', '146']",0.031026840209960938
Growth Fault (synonyms: Syn-sedimentation fault): a Fault Structure  in which the portion above the fault surface is thicker than the portion below .,['151'],1,"['151', '57', '222', '173', '140', '7', '193', '43', '72', '105']",0.025643587112426758
Detachment Fault: a Fault Structure with Fault Dip in value less than 10° in which the displacement is almost horizontally.,['184'],1,"['105', '193', '184', '57', '62', '200', '140', '156', '46', '13']",0.02678394317626953
Strike-Slip Fault: a Fault Structure that two Fault Wall move relative horizontally to each other laterally in a vertical plane that is approximately parallel to the strike of the fault.,"['131', '222', '71', '44']",4,"['173', '42', '200', '193', '222', '212', '88', '105', '179', '57']",0.026549577713012695
Fault System: a Rock Volume and has_part some Fault Volume.,"['13', '108', '70', '32']",4,"['70', '86', '107', '197', '182', '71', '40', '90', '156', '220']",0.02591872215270996
"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.","['126', '207', '65']",3,"['126', '162', '5', '208', '65', '92', '167', '191', '125', '176']",0.026463031768798828
Brittle Fault Rock: a amount of rock generated_by some Brittle Shear Deformation. It results from the crushing  of a former rock (Protolith).,"['22', '31', '96', '37', '187', '84', '12']",7,"['84', '37', '31', '186', '2', '11', '96', '183', '146', '22']",0.025291919708251953
"Deformation Band: a geological object recognizable in from mm to cm in width, constituted_by some amount of rock and generated_by some Geological Deformation.It corresponds to a tabular strain localization feature that accommodates small displacement with strain-hardening.","['155', '144', '4']",3,"['144', '4', '39', '66', '111', '181', '124', '18', '139', '207']",0.029920578002929688
"Fault Core: a geological object that is part_of only Fault Zone, generated_by some Brittle Shear Deformation, constituted_by some Brittle Fault Rock. It accommodates the high-strain major shear displacement.","['63', '22', '3', '42', '53', '167', '119', '138', '30', '154']",10,"['2', '146', '84', '183', '11', '37', '22', '140', '186', '18']",0.028985977172851562
Flower: a set of fault surfaces related to strike-slip fault structure that stack together as petals of a flower in cross-section view.,['145'],1,"['145', '207', '115', '172', '63', '122', '13', '42', '140', '194']",0.026928424835205078
"Fault System Structure: a geological structure that is structure_of some Fault System. It is the arrangement among the Fault Walls of Fault Volumes, which are part_of a Fault System.","['32', '116', '186', '56', '95', '57']",6,"['32', '116', '13', '72', '43', '193', '151', '57', '107', '184']",0.025890350341796875
Negative Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively downward and the corresponding Fault System has_structure some Flower.,['56'],1,"['156', '13', '56', '145', '105', '32', '95', '63', '42', '24']",0.029328584671020508
Chatter Mark: a small wedge-shaped structure that indicates one Fault Wall moves past another.,['134'],1,"['134', '24', '23', '42', '194', '63', '119', '172', '182', '71']",0.02626204490661621
Fault Maximum Separation: a relational quality is quality_of exactly 2 Fault Wall of a Fault Volume. It measures the separation between 2 Fault Wall of a Fault Volume and expressed by a real number indicating its value and a literal string indicating its measurement unit.,"['201', '149', '148', '62', '105', '198']",6,"['156', '105', '148', '107', '13', '56', '71', '182', '95', '46']",0.02831101417541504
"Slip Surface Structure: a geological structure, which is structure_of some Physical Slip Surface. It is structure of the direction of the displacement between the two fault walls.","['139', '68', '39', '28', '134']",5,"['28', '39', '139', '68', '63', '24', '140', '111', '116', '195']",0.02469778060913086
Dip Separation: it is the separation measured along a line parallel to the dip direction.,['62'],1,"['62', '99', '200', '85', '161', '122', '63', '139', '194', '105']",0.027394771575927734
Low-angle Fault: a Fault Structure having a Fault Dip value less than 30°,"['43', '212']",2,"['193', '105', '43', '72', '57', '151', '222', '212', '88', '200']",0.03277301788330078
It is a 'generically dependent continuant' that is the pattern of a non-atomic 'geological object''s internal arrangement.,"['114', '11', '66', '111', '116', '39', '181', '163', '125']",9,"['114', '66', '181', '126', '176', '124', '207', '163', '156', '10']",0.03322744369506836
"An entity that has temporal parts and that happens, unfolds or develops through time.","['191', '135', '80', '112', '202']",5,"['156', '162', '78', '65', '137', '107', '13', '29', '119', '166']",0.03188371658325195
"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.","['51', '10', '174', '20']",4,"['162', '126', '67', '156', '157', '125', '65', '167', '92', '33']",0.03279685974121094
"Duplex : a set of imbricate (overlapping,stacking) thrusts which branch off from a single fault below and merge with a thrust fault above and which isolate rock bodies (horses).",['57'],1,"['122', '42', '13', '11', '63', '207', '194', '115', '119', '22']",0.030700206756591797
Protolith Role: a role that is role_of  some amount of rock. It indicates the original rock type of the rock before the rock participate_in some Geological Process.,"['45', '152', '25']",3,"['45', '152', '31', '155', '33', '97', '129', '147', '192', '100']",0.02816462516784668
Barrier: a role that is role_of some Fault Zone that not allows fluid flow.,"['169', '54']",2,"['7', '169', '146', '69', '89', '140', '24', '166', '63', '78']",0.04331183433532715
Fault Strike Azimuth: it measures the strike azimuth of the Fault Surface Location.,['19'],1,"['19', '7', '200', '46', '88', '69', '89', '212', '99', '140']",0.03687739372253418
Unconsolidated earth material is an 'earth material' that is consituted by an aggregate of solid particles but is not consolidated into a 'rock' it self.,['133'],1,"['133', '147', '203', '180', '109', '75', '41', '33', '192', '100']",0.04457235336303711
"Anastomosing: a set of fault surfaces that merge and diverge along strike, thereby creating a braided pattern in map view or cross section.",['115'],1,"['85', '115', '139', '63', '194', '122', '161', '172', '24', '28']",0.033727407455444336
"Minor Fault (synonym: Subsidiary fault, Spaly fault): a role is role_of  some Fault Zone. It can be realized when a Fault Zone having a minor displacement than a Major Fault within a Fault System.","['64', '137', '141', '100']",4,"['220', '141', '108', '36', '222', '212', '153', '53', '107', '102']",0.02983999252319336
Synthetic Fault: a Subsidiary Fault. It can be realized when a Fault Zone having a dip direction parallel to that of the Major Fault Zone belonging to the same Fault System.,['100'],1,"['108', '153', '53', '212', '220', '222', '161', '89', '69', '193']",0.03635597229003906
Fault Tip Line: a two-dimensional continuant fiat-boundary that is the locus of the points of the Fault Zone where theoretically the shear displacement goes to zero,"['162', '85', '74']",3,"['85', '161', '74', '127', '89', '69', '200', '146', '7', '105']",0.03092360496520996
Dextral Fault: a Strike-Slip Fault that that the Fault Wall on the opposite side of the fault from an observer has moved to the right.,['131'],1,"['131', '222', '44', '99', '200', '193', '212', '43', '72', '88']",0.0326695442199707
Conduit: a role that is role_of some Fault Zone that t allows fluid flow.,"['29', '81']",2,"['29', '63', '7', '166', '78', '24', '140', '69', '89', '169']",0.03055405616760254
Slickenline: a parallel straight line scratches or grooves.,['68'],1,"['194', '134', '63', '139', '24', '28', '172', '68', '85', '140']",0.03862714767456055
Fault Breccia: a Brittle Fault Rock containing at least in volume  30 %  “large” clasts (having a average clast size > 2 mm in diameter).,['187'],1,"['37', '192', '186', '31', '11', '84', '139', '22', '172', '2']",0.031168460845947266
Thrust Fault: a conjunction of Reverse Fault and Low-angle Fault,"['88', '212']",2,"['212', '88', '222', '193', '43', '72', '99', '131', '200', '57']",0.02831244468688965
Smeared:a quality that is quality_of  some Fault Core Membrane. It specifies whether the membrane has been ductically stretched.,"['38', '48', '136', '16', '178']",5,"['178', '16', '78', '11', '166', '18', '63', '195', '140', '156']",0.02900385856628418
Sinistral Fault: a Strike-Slip Fault that the Fault Wall on the opposite side of the fault from an observer has moved to the left.,['44'],1,"['44', '131', '222', '52', '99', '173', '193', '72', '43', '184']",0.03846573829650879
"It is a physical, or chemical, or biological, naturally occurring process that occurs on the Earth’s surface or subsurface and occupies some 'geological time interval'","['117', '121', '87', '159', '75', '190']",6,"['120', '75', '181', '163', '18', '143', '159', '117', '203', '61']",0.030586957931518555
Fault Horse: a geological object that is externally_connected_with only Physical Slip Surface. It is bounded by slip surfaces in 3D spatial region.,"['194', '26']",2,"['7', '6', '89', '69', '139', '28', '194', '61', '24', '140']",0.03159952163696289
Conjugate: a number of fault surfaces can be grouped into two sets that are inclined to one another at an angle of about 60°.,['210'],1,"['210', '207', '63', '122', '139', '194', '172', '28', '115', '68']",0.029497385025024414
Foot Wall: a role that is role_of  some Fault Wall located below the Fault Surface to which it is related.,"['83', '52']",2,"['42', '149', '24', '52', '182', '71', '23', '119', '76', '7']",0.032210588455200195
"An amount of rock is an 'earth material' that is a naturally occuring, inorganic, solid, homogeneous chemical compound with a crystalline structure.",['180'],1,"['180', '33', '203', '133', '100', '75', '147', '28', '152', '39']",0.02987957000732422
Large Clasts Proportion: a Rock Quality inheres in rock. It quantifies the proportion of the rock has clasts larger than 2mm.,['193'],1,"['192', '31', '100', '37', '155', '129', '84', '50', '33', '11']",0.02901768684387207
"Fault Gouge: a non-cohesive Brittle Fault Rock containing maximum in volume 30% “large” clasts 
Superclass: Brittle Fault Rock (Def.13)","['171', '96']",2,"['37', '96', '31', '186', '84', '11', '22', '2', '170', '140']",0.029316425323486328
"Geological Deformation: a geological process, which changes the shape and/or the volume of some material entity that is constituted_by some amount of rock.","['33', '87', '183', '4']",4,"['33', '75', '4', '159', '144', '163', '117', '87', '181', '120']",0.049698591232299805
"Cohesion: a Rock Quality inheres in rock. It measures the capability of a rock  being broken into component granules with fingers or with the aid of a pen knife.
Values: Cohesion, Non-cohesion",['17'],1,"['100', '17', '152', '129', '155', '178', '16', '50', '33', '11']",0.03430342674255371
"Fault Core Membrane: a geological object that is part_of some Fault Core, constituted_by some Brittle Fault Rock, has_quality some Smeared and has_quality some Continuity. It corresponds to a long and thin layer of the fault core.","['78', '167', '16', '18', '178', '12']",6,"['11', '166', '18', '22', '2', '140', '78', '63', '137', '42']",0.03218388557434082
Parallel: a set of fault surfaces that roughly parallel one another.,['123'],1,"['122', '42', '63', '194', '161', '85', '119', '139', '13', '69']",0.03152608871459961
Reverse Fault: a Fault Structure in which Fault Wall has_role Hanging Wall is higher or has moved upthrown relative to the Fault Wall has_role Footwall.,"['88', '192', '222', '212']",4,"['52', '193', '42', '222', '105', '43', '72', '57', '212', '173']",0.03690838813781738
Relay Zone: a role is role_of  some Rock Volume. It can be realized when a Rock Volume constitutes a link between two adajacent Fault Zone having similar characteristics and shows the displacement is transferred.,"['59', '122']",2,"['59', '70', '156', '119', '152', '90', '40', '107', '85', '97']",0.031172990798950195
Permeability: a disposition that is  disposition_of some Amount of Rock. It quantifies the capability a rock of letting a liquid or gas flow through under pressure.,"['175', '101']",2,"['100', '175', '16', '178', '28', '2', '84', '140', '195', '11']",0.02811145782470703
a Fault Structure in which the Fault Wall that  has_role Hanging Wall is lower or has moved downthrown relative to the Fault Wall that has_role Footwall.,"['222', '58']",2,"['52', '42', '193', '173', '76', '43', '72', '57', '105', '222']",0.024928808212280273
An amount of rock is a solid consolidated 'earth material' that is 'constituted by' an aggregate of particles made of mineral matter or material of biological origin.,"['45', '155', '101', '31', '129', '33', '152', '147']",8,"['180', '33', '203', '133', '75', '147', '109', '152', '100', '155']",0.03331494331359863
Fault Wall: a Rock Volume that is part_of Fault Volume and externally_connected_with Fault Core. It corresponds to the volume that is located aside the Fault Core.,"['150', '24', '105', '42', '94', '76', '23', '196', '52', '72', '182']",11,"['182', '71', '107', '70', '90', '40', '197', '166', '156', '137']",0.02505016326904297
Graben: a role is role_of  some Fault Wall when this Fault wall has_role some Hanging Wall of two normal faults dipping towards each other.,"['77', '35', '76']",3,"['52', '76', '23', '42', '182', '71', '24', '193', '149', '105']",0.02379155158996582
It is a quality that 'inheres in' a 'geological object' or 'earth material' that corresponds to the 'geological time interval' in which the 'geological process' that it was 'generated by' occupied.,"['118', '82']",2,"['117', '120', '61', '181', '163', '159', '75', '124', '66', '33']",0.0248258113861084
En echelon: a set of parallel fault surfaces that lie between two bounding surfaces and are inclined at an angle to the bounding surfaces.,['91'],1,"['139', '172', '28', '91', '68', '140', '63', '194', '7', '195']",0.029893875122070312
Fault Surface Shape: a quality is quality_of some Fault Surface. It does not reflect the exact topological specifications of a surface shape but an abstract geometry.,"['140', '195', '172']",3,"['140', '195', '28', '139', '7', '172', '63', '207', '39', '46']",0.03272676467895508
It is a BFO temporal interval that corresponds to a time interval within the Geological Time Scale.,['14'],1,"['14', '61', '114', '66', '124', '181', '111', '163', '156', '6']",0.028325557708740234
Antithetic Fault: a Subsidiary Fault. It can be realized when a Fault Zone having a dip direction cojugate to that of the Major Fault Zone belonging to the same Fault System.,['137'],1,"['108', '212', '222', '220', '153', '53', '193', '90', '40', '36']",0.02497386932373047
"Damage Zone: a geological object that is part_of only Fault Zone, externally connected with some Fault Core, and part_of some Fault Wall. It accommodates the low-strain and less intense brittle deformation.","['150', '185', '85', '104', '143', '119']",6,"['119', '63', '7', '42', '146', '69', '89', '11', '166', '24']",0.02743387222290039
Fault Orientation: a quality is quality_of some Fault Surface Location. It measures the orientation properties of a Fault Surface.,"['19', '46', '99', '200', '132']",5,"['46', '7', '140', '6', '195', '132', '105', '69', '89', '200']",0.024184226989746094
Strike Separation: it is the separation measured along the strike of the fault.,['201'],1,"['201', '62', '150', '19', '105', '198', '88', '212', '85', '184']",0.022655725479125977
An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,"['67', '160', '124', '33', '166', '109']",6,"['167', '5', '126', '92', '162', '176', '114', '65', '174', '67']",0.02330470085144043
"Fault Zone: a geological object that is part_of  some Fault Volume. A Fault Zone is participates_in some Brittle Shear Deformation, and Fault Zone has_part some Fault Core and has_part some Damage Zone.","['29', '40', '169', '36', '162', '69', '185', '146', '165', '104', '90', '53', '141', '89', '107', '154']",16,"['146', '89', '69', '53', '153', '40', '90', '165', '222', '212']",0.023950815200805664
It is a 'relational quality' that 'inheres in' two distinct 'geological object' that are 'externally connected with',['9'],1,"['124', '66', '163', '9', '181', '148', '156', '207', '63', '61']",0.02992105484008789
"Cataclasite: a cohesive Brittle Fault Rock containing maximum in volume 30% “large” clasts 
Superclass: Brittle Fault Rock (Def.13)","['37', '50']",2,"['37', '31', '84', '11', '186', '22', '96', '2', '192', '146']",0.029736757278442383
Horst and Graben: a set oFault Wall that are altrernately moved up and down along normal faults.,"['35', '186', '197']",3,"['187', '35', '76', '196', '52', '94', '182', '71', '24', '42']",0.03226900100708008
Rock Volume: a fiat object part part_of some geological object and constituted_by some amount of rock.,"['86', '70', '98', '59', '130', '196']",6,"['97', '130', '66', '124', '33', '117', '159', '144', '181', '75']",0.03175020217895508
An object that is 'generated by' some 'geological process' and has at least one part 'constituted by' some 'earth material' that is not an 'earth fluid'.,"['8', '66', '144', '117', '165', '203', '118', '121', '181', '98', '159', '143', '97', '61', '163', '26', '18', '30', '125']",19,"['203', '75', '159', '33', '117', '66', '124', '109', '41', '120']",0.036660194396972656
Fault Surface: a two-dimensional continuant fiat boundary related to a Fault Zone. It corresponds to the locus surface of the points that are equally distant to the two Fault Wall of the related Fault Zone.,"['7', '69', '140', '90', '127']",5,"['7', '69', '89', '161', '85', '127', '6', '119', '46', '156']",0.036048173904418945
"Oblique Fault: a Fault Structure that is a conjunction of Strike-Slip Fault and Normal Fault, or conjunction of Strike-Slip Fault and Reverse Fault.","['222', '173']",2,"['222', '212', '193', '173', '43', '72', '88', '57', '184', '99']",0.034868478775024414
Heave: it is the horizontal component of Dip Separation.,['149'],1,"['150', '62', '139', '28', '200', '207', '2', '210', '63', '195']",0.03780031204223633
Throw: it is the vertical component of Dip Separation.,['198'],1,"['62', '198', '139', '63', '28', '200', '150', '195', '140', '2']",0.03121018409729004
"Fault Core Lens: a geological object that is part_of some Fault Core, constituted_by some Amount of Rock and has_role some Protolith.","['8', '152', '138']",3,"['8', '30', '18', '11', '137', '22', '152', '144', '165', '166']",0.03849482536315918
Horst: a role is role_of  some Fault Wall when this Fault Wall has_role some Foot Wall of two normal faults having divergent dips.,"['188', '94', '197']",3,"['52', '23', '42', '71', '182', '24', '76', '149', '105', '94']",0.0376276969909668
It is a natural amount of matter 'generated by' some 'geological process'.,"['180', '41', '133', '203', '159', '147', '75', '109']",8,"['117', '75', '120', '33', '190', '159', '163', '181', '124', '180']",0.04971790313720703
Rotation Fault (synonyms: Scissors Fault): a Fault Structure in which one Fault Wall rotated with respect to the other  around an axis perpendicular to the Fault Surface.,['179'],1,"['179', '200', '193', '173', '42', '99', '222', '105', '57', '212']",0.039305686950683594
Major Fault (synonym: Main fault): a role is role_of  some Fault Zone. It can be realized when a Fault Zone having a significantly larger displacement than the others within a Fault System.,"['36', '208']",2,"['36', '153', '53', '141', '220', '108', '107', '212', '151', '222']",0.03790998458862305
Fault Dip Angle: it measures the dipping angle of the Fault Surface Location.,['200'],1,"['200', '140', '99', '46', '7', '139', '195', '69', '89', '173']",0.03464698791503906
Fault Structure: a geological structure that is structure_of only Fault Volume. It is the pattern of human-eyes’ visible scale physical discontinuity and shear displacement of fault.,"['184', '179', '11', '192', '71', '151', '58', '173', '43', '156']",10,"['2', '116', '111', '12', '151', '7', '156', '13', '39', '140']",0.04542136192321777
"Brittle Shear Deformation: a Geological Deformation, which applies a material entity constituted_by a amount of rock shear stress and consequently induces physical discontinuities and displacements inside it.","['146', '3', '183', '84']",4,"['2', '183', '84', '146', '4', '28', '144', '139', '11', '33']",0.034037113189697266
"Relay: In map view, a set of parallel or subparallel non-coplanar fault surfaces that are spaced at a distance from one another across strike, but whose traces overlap or shows a “relayed” (transferred) pattern with one another along strike.",['1'],1,"['122', '85', '194', '63', '119', '7', '24', '161', '42', '172']",0.03529810905456543
